ID,Number of Grounds Water Sources,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Number of Surfaces Water Sources,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Number of Purchased Sources,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Total Number of Pumps,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Algae Control,Disinfection,Oxidation,Iron Removal,Manganese Removal,Taste/Odor Control,TOC Removal,Particulate/Turbidity Removal,Softening,Recarbonation,Organic,Inorganic,Radionuclide,Aeration,Ultraviolet,Ozone,Upflow Clarification,Gravity Clarification,Dissolved Air Floatation Clarification,Flocculation,Direct Filtration,Slow Sand Filtration,Dual Stage Filtration,Rapid Rate Filtration,Diatomaceous earth Filtration,Pressure Filtration,Reverse Osmosis Membrane,Microfiltration Membrane,Ultrafiltration Membrane,Nanofiltration Membrane,Number of Treatment Plants,No Treatment,Gravity Thickening,Mechanical Dewatering,Centrifuge,Residual Pressure Filtration,Vacuum Filtration,Belt Press,Plate & Frame Press,Non-Mechanical Dewatering,Lagoon dewatering thickening,Sand Drying Bed,Freezing and Thawing,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Number of Distribution Pumps,Total Storage Volume,Average Distribution Pressure,Number of Distribution Zones,Unaccounted for Treated Water,Production Energy Use,Production Energy Peak,Poduction Cost,Treatment Energy Use,Treatment Energy Peak,Treatment Energy Cost,Distribution Energy Use,Distribution Energy Peak,Distribution Energy Cost,Total Energy Use,Total Energy Peak,Total Energy Cost,Total Building Area,Natural Gas Use,Natural Gas Cost,Engine Driven Pumps,Engine Driven Pump HP,Engine Driven Pump Fuel Type,Purchased Energy,Purchased Energy Source,Amount of Purchased Energy,Purcahsed Energy Cost,Regularly Checked Utility Bills,Extraordinary Events,Additional Comments,Total Average Flow,Average raw turbidity,Peak raw turbidity,Treatment for metals (iron mang),Treatment for contaminates (organic inorganic radon),Difference between highest and lowest system elevation,Total system hp
id,raw_g_num,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_num,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_num,raw_p_aflow,raw_g_depth,raw_hp,raw_npump,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,treat_algae,treat_disinf,treat_ox,treat_iron,treat_mang,treat_odor,treat_TOC,treat_turb,treat_soft,treat_recarb,treat_organic,treat_inorganic,treat_radon,process_aerate,process_UV,process_OZ,process_clar_up,process_clar_gravity,process_clar_daf,process_floc,process_filtr_direct,process_filtr_sand,process_filtr_dual,process_filtr_rapid,process_filtr_dearth,process_filtr_press,process_mem_rosmos,process_mem_micfiltr,process_mem_ultfiltr,process_mem_nanofiltr,utility_nplants,res_none,res_gravity,res_dewat_mech,res_cent,res_press_filtr,res_vac_filtr,res_bpress,res_ppress,res_dewat_nmech,res_lagoon,res_sand,res_frz,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_npump,distrib_storage,distrib_press,distrib_nzones,distrib_lost,raw_kwh,raw_kw,raw_cost,treat_kwh,treat_kw,treat_cost,distrib_kwh,distrib_kw,distrib_cost,utility_kwh,utility_kw,utility_cost,floor_area,ngas_use,ngas_cost,pump_eng,pump_eng_hp,pump_eng_fuel,oenergy_purch,oenergy_type,oenergy_amount,oenergy_cost,check_util,extra_event,notes,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_metals,calc_contam,calc_elev_change,calc_hp
TX002,1,0.34,0.72,0,2,1.7,3.42,4.94,0,0,400,195,5,0.11,0.15,11,90,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,250,30000,11,95,0,0,725,5,2.2,45,0,10,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,,0,,,0,0,0,,2.04,9.185,150.9,1,1,0,920
TX003,0,0,0,0,2,4.08,7.19,10,0,0,0,600,2,0,0,19,89,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18500,100,26,0,0,600,2,5.25,75,1,12,1453092,250,64738,1724448,467,131528,0,0,0,3177540,742,196267,8000,0,0,0,0,,0,,,0,1,0,,4.08,19,156.8,1,1,0,1200
TX004,0,0,0,0,0,0,0,0,0,0,650,120,3,0.02,0.04,3,12,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10000,21960,17.2,217,1946,1580,375,10,11.5,80,11,11,0,0,0,0,0,0,0,0,0,0,0,211974,2500,0,0,0,0,,0,,,0,1,0,,0,0,0,0,0,366,495
TX005,12,6.79,11,17,0,0,0,0,0,0,1250,2175,12,350,379,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,38285,48.5,275,323,85,6750,7,7.49,79,0,7.43,0,0,0,0,0,0,0,0,0,0,0,490692,0,0,936,0,0,,0,,,0,0,0,,6.79,350,379,1,0,238,8925
TX006,0,0,0,0,4,59.4,98.9,140,0,0,0,3550,5,0,0,9,134,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,358215,98.7,1359,720,426,12375,16,41.5,80,3,0,0,0,1727500,0,0,0,0,0,0,0,0,1727500,400000,0,29000,1,2270,Natural Gas,0,,,0,0,0,,59.4,9,223.1,0,0,294,15925
TX007,14,1.2,1.3,1.2,1,6,12,12,1,0,400,0,4,0.08,0.15,3,10,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21500,0,106.7,955,801,2020,34,10.7,65,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,7.2,2.513333333,16.7,1,1,154,2020
TX008,0,0,0,0,3,130.5,197,260,0,0,0,12600,10,0,0,4.6,63,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,310000,786594,450,3036,1120,415,0,101,250,72,9,7.5,0,0,0,83300956,0,6335118,28536936,0,2181117,111837892,0,8516235,190000,0,0,0,0,,0,,,0,1,0,,130.5,4.6,95.1,0,0,705,12600
UT001,12,1.27,2.49,2.49,0,0,0,0,0,0,600,450,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,10.5,159,5307,4465,2030,24,18,75,5,3.5,0,0,0,0,0,0,0,0,0,0,0,253220,0,0,7222,0,0,,0,,,0,1,0,Utility information not readily available,1.27,0,0,0,0,842,2480
UT002,8,4.5,8.5,11.9,0,0,0,0,1,0,500,1395,8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,12,120,4960,4350,0,0,6.5,106,4,8,2457745,409566,200367,0,0,0,0,0,0,2457745,0,200367,0,0,0,0,0,,0,,,0,0,0,,4.5,0.9,0,0,0,610,1395
UT003,32,12.22,30.91,60,3,33.89,51.08,210,1,37.8,385,3805,22,0.96,2.46,2.26,9.7,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,7050,92055,135,1376.21,5780,4218,15575,120,95.32,110,48,8.5,6605123,3106,388429,1769992,602,148384,10899986,6313,959213,19275101,10021,1496026,0,343712,218672,0,0,,0,,,0,0,1,,83.91,1.915476036,11.4,0,0,1562,19380
UT004,26,13.03,42.08,69.5,3,64.4,200,200,0,0,442,13510,27,0.28,3.3,0.04,0.33,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,4502,505621,186,250,4990,4240,9495,31,170,80,9,1.6,0,0,0,3415020,549,174636,0,0,1398390,0,0,1573026,0,96279,58714,1,1300,Natural gas diesel,1,Diesel,316 gallons,774,1,0,,77.43,0.080387447,1.4,0,0,750,23005
UT005,23,8,35,53.25,2,14,25,25,1,7,792,4720,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26990,22,375,5500,4300,4720,25,32.4,170,8,8.3,0,0,860076,0,0,0,0,0,231882,0,0,1091958,0,0,0,0,0,,0,,,0,1,0,,29,0,0,0,0,1200,9440
UT006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15400,8,60,5000,4700,0,0,5,75,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,300,0
VA001,0,1.9,2,5.7,0,43,53,94,0,0,150,3300,17,0.1,0.1,3,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10000,405000,450,1800,0,0,5000,10,25,70,2,5,0,0,0,0,0,0,0,0,0,50000000,8000,1700000,0,0,0,1,700,Diesel,0,,,0,0,0,This is a pilot survey,44.9,2.877282851,11.8,1,0,0,8300
VA002,0,0,0,0,1,7.74,9.79,12,2,0,0,120,3,0,0,6.14,15.6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,270,1600,400,15,3840,30,29.7,60,23,8,0,0,0,4686869,820,202129,0,0,440550,4686869,0,0,14000,0,12255,0,0,,0,,,0,1,0,,7.74,6.14,19.7,1,0,385,3960
VA003,0,0,0,0,1,1.11,1.8,2,1,0.15,0,35,2,0,0,25,350,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,14000,60,150,925,675,200,2,2.82,70,2,7.4,0,0,0,0,0,0,0,0,0,1090080,202,45000,12100,0,0,0,0,,1,No. 2 Heating Oil,2322 Gallons,2990,0,0,,1.26,25,567.6,1,0,250,235
VA004,0,0,0,0,1,7.05,9.98,18,0,0,0,180,2,0,0,37,760,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1500,48411,44,320,650,390,1275,26,16.35,85,6,10,0,0,0,1416000,0,125473,1182629,114,85423,2598629,114,210896,4120,9222,11206,1,475,Diesel,0,,,0,1,0,,7.05,37,1075.9,1,0,260,1455
VA005,0,0,0,0,2,142,276,0,0,0,0,14000,7,0,0,40,1125,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,2000000,1400000,1200,3154,600,260,3000,19,65,80,5,10,150000000,34000000,4771000,0,0,0,50000000,15000000,1200000,200000000,50000000,6000000,0,0,600000,0,0,,0,,,0,0,0,,142,40,2186.6,1,1,340,17000
VA006,1,0,54,0,1,0,1.47,0,0,0,300,450,3,0.03,0.17,20.4,436,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,333,35000,12,210,440,293,370,6,5.6,55,3,7,0,0,227800,0,0,0,0,0,45000,0,0,272800,29000,0,0,0,0,,0,,,0,1,0,,0,0,0,1,1,147,820
VT001,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,9,25,0,0,0,0,1.19,95,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,0.52,0,0,0,0,0,0
VT002,0,0,0,0,0,0,0,0,1,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,31,105,450,120,0,0,3.1,75,2,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,1.76,0,0,0,0,330,0
VT003,0,0,0,0,3,1.58,1.71,6,0,0,0,100,2,0,0,2.47,4.72,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,150,14000,14,76,1190,580,0,0,3.35,150,4,30,745920,0,76646,0,0,0,21000,0,2950,766920,0,0,60000,0,0,0,0,,0,,,0,1,1,Major Water Leaks,1.58,2.47,5.1,1,1,610,100
WA001,15,1.7,4.5,2.4,0,0,0,0,0,0,680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,11,110,420,0,0,5,4.1,60,2,7,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,,0,,,0,0,0,,1.7,0,0,0,0,420,0
WA002,9,4.01,7.2,9.8,2,3.65,9.13,17.5,0,0,361.13,430,8,0,0,0.77,1.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52000,21.56,300,650,0,994,28,33.28,50,6,4,2451546,269438,96520,99800,14300,7331,1397240,114847,105294,3948586,398585,209145,10775,1353,1368,0,0,,0,,,0,1,0,,7.66,0.366906005,1.6,0,0,650,1424
WA003,0,10.1,26.6,28.9,0,0,0,0,0,0,375,4950,33,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,495,600,0,0,700,34,15.5,55,27,9.5,10161720,2846,596654,0,0,0,1936510,532,127886,12098230,0,724540,15748,0,0,0,0,,0,,,0,0,0,,10.1,1,1,0,0,0,5650
WA004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,17.5,244,640,342,0,11,28.8,491,9,5,0,0,0,0,0,0,610800,0,51036,610800,0,0,0,0,0,0,0,,0,,,0,1,0,,0,0,0,0,0,298,0
WA005,11,5.3,13.4,13.7,0,0,0,0,0,0,337,1865,11,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,25,267,680,30,770,7,21.5,45,6,13,4223996,840,283332,0,0,0,1346680,360,100481,5570676,0,383813,8000,0,0,0,0,,0,,,0,1,0,,5.3,0.1,0,0,0,650,2635
WA006,20,7,14,16,0,0,0,0,0,0,250,2327,21,0.39,1.97,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56000,26,305,460,170,315,12,13,40,8,0,5067505,241,363927,0,0,0,0,0,0,5067505,241,363927,10000,137,308,0,0,,0,,,0,1,0,,7,0.39,2,1,0,290,2642
WA007,2,1.53,2.84,5.83,0,0,0,0,0,0,234,700,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20000,3.2,21,2708,2350,50,2,6.2,50,2,1,859300,560,40300,0,0,0,0,0,0,859300,560,40300,896,0,0,0,0,,0,,,0,0,0,WSU owned system therefore there are not bills,1.53,0,0,0,0,358,750
WI001,0,0,0,0,1,131,216,375,0,0,0,13300,13,0,0,1.45,24.8,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,13543,844433,185,1960,236.5,5.3,44230,61,52,73,6,11,0,0,0,20998983,0,1109198,53183166,0,2892885,74182149,0,4002083,0,777860,507771,0,0,,1,Propane,4000 Gallons,3600,1,1,Linnwood Plant was impacted as a result of the Howard Plant being out of service for 3 months due to a feeder main break,131,1.45,40.9,0,1,231.2,57530
WI002,0,0,0,0,1,4,5.98,14,0,0,0,1100,4,0,0,2.29,16.3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18450,4,60,161,132,260,4,2.5,55,1,6,2152320,962880,148000,1177440,466440,74356,0,0,0,3329760,1429320,222356,0,12560,13313,1,700,Natural Gas,0,,,0,1,0,,4,2.29,24.4,0,0,29,1360
WI003,13,2.12,3.17,4.8,0,0,0,0,0,0,65,597.5,13,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15900,19000,13,135,1360,1210,875,11,4.12,70,2,11,1117100,0,43840,371725,0,14588,535815,0,21028,2024640,0,79456,27400,14884,14512,1,125,Diesel,1,Propane Diesel,200 lbs propane 150 gallons diesel,650,1,0,,2.12,0,0,1,1,150,1472.5
WY001,0,0,0,0,1,2.7,5,16.5,0,0,0,0,0,0,0,5,250,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,22500,0,0,5277,3846,0,0,5,0,7,0,56080,149,5134,569400,196,37429,29688,0,3805,655168,296,46369,86637,56189,36819,0,0,,1,Diesel,314 gallons,507,1,0,,2.7,5,463,0,0,1431,0
NY001,3,0.53,1.2,1.5,,0,0,0,,0,,,,,,,,,1,,,,1,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,1700,2,4,,,,,0.5,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,,,0,,,0,,,,0.53,0,0,0,1,0,0
NY002,4,1.3,3,0,,0,0,0,,0,,,,,,,,,0,,,,0,0,0,0,,,,,1,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,1000,28.7,30,,,,,3.75,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,,,1,,,0,,,,1.3,0,0,0,0,0,0
NY003,3,0.416,0.508,1.21,,0,0,0,,0,,,,,,,,,0,,,,0,0,1,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,845,1.2,11,,,,,1.25,80,1,0.66,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,,,0,,,0,,,,0.416,0,0,0,0,0,0
NY004,0,0,0,0,,0.195,0,0,,0,,,,,,,,,1,,,,1,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,500,0,20,,,,,0.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,,,0,,,0,,,,0.195,0,0,0,0,0,0
NY005,3,1.2,3.26,3.25,,2.12,4.14,6,,0,,,,,,,,,1,,,,0,1,0,0,,,,,0,0,0,0,1,0,1,,,,,,0,0,0,,,,,,,,,,,,,,,,0,6900,7,0,,,,,3.2,104,2,3.61,0,0,0,0,0,0,0,0,0,0,0,0,24017,22033,22350.3,0,,,0,,,0,,,,3.32,16.73,401,0,1,0,0
NY006,14,1,1.8,0,,0,0,0,,0,,,,,,,,,0,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,2600,0,70,,,,,4.5,70,1,0,260800,148,12203,0,0,0,0,0,0,260800,148,12203.21,6000,0,0,1,,,0,,,0,,,,1,0,0,0,0,0,0
NY007,0,0,0,0,,8.23,10.31,13,,0,,,,,,,,,0,,,,0,0,0,0,,,,,0,0,0,0,1,0,1,,,,,,0,0,0,,,,,,,,,,,,,,,,13000,8500,8,108,,,,,0,75,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,16500,2800,5000,0,,,0,,,0,,,,8.23,0.45,6.5,0,0,0,0
NY008,2,0.3,0.6,0.4,,3,5.5,3,,0.7,,,,,,,,,1,,,,1,0,1,0,,,,,0,0,0,1,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,300000,11000,0,175,,,,,11,60,2,7,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,,,1,,,24000,,,,4,2,8,0,0,0,0
NY009,0,0,0,0,,2.5,3.1,0,,0,,,,,,,,,0,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,2836,0,217,138080,132.8,8820,76130,76,4884,217046,208.8,13921.42,0,0,0,0,,,0,,,0,,,,2.5,0,0,0,0,0,0
NY010,3,0,0,0,,10.9,20.3,31.5,,0,,,,,,,,,1,,,,0,1,0,0,,,,,0,0,0,0,1,0,1,,,,,,0,0,0,,,,,,,,,,,,,,,,2690,23400,36,418,,,,,17.7,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,118617,57271,50600,1,,,0,,,0,,,,10.9,5,200,0,0,0,0
NY011,0,0,0,0,,1.6,2.4,2.5,,0.1,,,,,,,,,0,,,,0,0,0,0,,,,,0,0,0,1,0,0,1,,,,,,0,0,0,,,,,,,,,,,,,,,,2000,3200,6.25,50,,,,,1.3,70,0,0.88,0,0,0,2916,0,17538,188,0,2739,3104,0,20277.01,0,10052,11231.11,0,,,0,,,0,,,,1.7,4,400,0,0,0,0
NY012,0,0,0,0,,18.2,0,0,,0,,,,,,,,,1,,,,1,1,0,0,,,,,1,1,0,0,1,0,1,,,,,,0,0,0,,,,,,,,,,,,,,,,0,100000,22.378,376,,,,,210838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,,,1,,,0,,,,18.2,0.8,0,0,0,0,0
NY013,0,0,0,0,,0.8,1.45,2,,0,,,,,,,,,0,,,,0,0,0,0,,,,,0,0,0,1,0,0,0,,,,,,1,0,0,,,,,,,,,,,,,,,,0,2350,0,30,,,,,4,95,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8820,0,0,0,,,1,,,0,,,,0.8,9.7,0,0,0,0,0
NY014,0,0,0,0,,0,0,0,,0.821,,,,,,,,,0,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,1036,3.4,19.5,,,,,2.2,70,3,16.57,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,1,,,0,,,0,,,,0.821,0.31,0.55,0,0,0,0
NY015,2,0.023,0,2,,2.71,0,5,,0.354,,,,,,,,,0,,,,0,1,0,0,,,,,0,0,0,1,0,0,1,,,,,,0,0,0,,,,,,,,,,,,,,,,0,8600,0,145,,,,,3.5,65,3,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,0,,,,3.087,20,300,0,0,0,0
NY016,5,2.5,3.6,0,,0,0,0,,0,,,,,,,,,1,,,,0,0,0,0,,,,,0,0,0,0,1,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,4900,4,3.5,,,,,2.5,0,0,0,2343652,0,213781,0,0,0,0,0,0,2343652,0,213781.39,3600,0,0,0,,,1,,,0,,,,2.5,0,0,0,0,0,0
NY017,0,0,0,0,,0.12,0,0,,0,,,,,,,,,0,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,2500,9,20,,,,,0.5,80,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2167,0,0,0,,,0,,,0,,,,0.12,0.19,0,0,0,0,0
NY018,2,0.6,0,4.32,,0.4,0,3.3,,0,,,,,,,,,1,,,,1,1,0,0,,,,,0,0,0,0,0,0,0,,,,,,1,0,0,,,,,,,,,,,,,,,,0,3000,2,40,,,,,1.9,63,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,34250,47000,1,,,0,,,0,,,,1,1,10,0,0,0,0
NY019,2,0.15,0.4,0.5,,0,0,0,,0,,,,,,,,,0,,,,0,0,0,1,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,600,0,0,,,,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,,0.15,0,0,0,0,0,0
NY020,9,0,0,0,,7,8.5,17,,0,,,,,,,,,1,,,,1,1,0,0,,,,,0,0,0,0,1,0,1,,,,,,0,0,0,,,,,,,,,,,,,,,,6000,65000,18,215,,,,,7.7,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,0,0,0,,,1,,,0,,,,7,17,250,0,1,0,0
NY021,0,0,0,0,,0.2,0.3,0.5,,0,,,,,,,,,1,,,,1,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,1,0,0,,,,,,,,,,,,,,,,0,750,6,20,,,,,0.5,70,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,,,1,,,9000,,,,0.2,1,20,0,0,0,0
NY022,2,0.245,0.47,0.763,,0,0,0,,0,,,,,,,,,1,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,2000,0,10,,,,,0.46,70,1,71.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,,,0,,,,0.245,0,0,0,0,0,0
NY023,0,0,0,0,,0.88,0,20,,0,,,,,,,,,1,,,,1,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,1,0,0,,,,,,,,,,,,,,,,0,850,2,10,,,,,1.5,55,1,0,0,0,0,642160,134,22251,0,0,0,642160,134,22251.32,0,0,0,0,,,0,,,0,,,,0.88,0.7,80,0,1,0,0
NY024,4,0.12,0.2,0,,0,0,0,,0,,,,,,,,,1,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,0,600,2,8.5,,,,,0.485,90,0,0,98227,58,13293,0,0,0,0,0,0,98227,58,13293.26,0,0,0,0,,,1,,,0,,,,0.12,0.38,0,0,0,0,0
